Unique Key,Created Date,Closed Date,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Address Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Borough,Latitude,Longitude,Location,area_name,year,geo_id,pop_25_plus,pop_25_less_9th,pop_25_hs_grad,pop_25_bach_plus,pop_25_34_bach_plus,pop_45_64_bach_plus
50293012,04/16/2021 08:11:36 AM,,Rooster,Residence,11234.0,2733 MILL AVENUE,MILL AVENUE,ADDRESS,In Progress,,,,BROOKLYN,1008056.0,160681.0,BROOKLYN,40.607676602285885,-73.91426351943026,"(40.607676602285885, -73.91426351943026)",Kings,2021,0500000US36047,1876692,158254,473782,298611,383827,184895
50959265,06/21/2021 08:22:44 PM,,Other,Residence,10314.0,SUFFOLK AVENUE,SUFFOLK AVENUE,BLOCKFACE,In Progress,,,,STATEN ISLAND,,,STATEN ISLAND,,,,Staten Island,2021,0500000US36085,344389,17431,102905,47218,61972,27572
53173404,01/25/2022 02:59:43 AM,,Rooster,Residence,11385.0,59-29 PALMETTO STREET,PALMETTO STREET,ADDRESS,In Progress,,,,QUEENS,1011285.0,196990.0,QUEENS,40.70732750183838,-73.9024888321992,"(40.70732750183838, -73.9024888321992)",Queens,2022,0500000US36081,1709759,174351,444621,229323,323773,132332
54820319,07/17/2022 09:46:58 AM,,Rooster,Residence,11367.0,144-18 MELBOURNE AVENUE,MELBOURNE AVENUE,ADDRESS,In Progress,,,,QUEENS,1032853.0,206841.0,QUEENS,40.73427388136913,-73.82462533545319,"(40.73427388136913, -73.82462533545319)",Queens,2022,0500000US36081,1709759,174351,444621,229323,323773,132332
50293717,04/16/2021 08:05:30 AM,,Rooster,Residence,11234.0,2739 MILL AVENUE,MILL AVENUE,ADDRESS,In Progress,,,,BROOKLYN,1008026.0,160655.0,BROOKLYN,40.60760531818615,-73.91437165485081,"(40.60760531818615, -73.91437165485081)",Kings,2021,0500000US36047,1876692,158254,473782,298611,383827,184895
50821543,06/08/2021 08:12:23 AM,,Rooster,Residence,11220.0,334 48 STREET,48 STREET,ADDRESS,In Progress,,,,BROOKLYN,980787.0,175442.0,BROOKLYN,40.64822373994661,-74.01247945145184,"(40.64822373994661, -74.01247945145184)",Kings,2021,0500000US36047,1876692,158254,473782,298611,383827,184895
52227429,10/19/2021 07:18:40 AM,,Farm Animal,Residence,11228.0,11 AVENUE,11 AVENUE,INTERSECTION,In Progress,,,,BROOKLYN,981623.0,167069.0,BROOKLYN,40.62524192663791,-74.00946353753037,"(40.62524192663791, -74.00946353753037)",Kings,2021,0500000US36047,1876692,158254,473782,298611,383827,184895
53615352,03/10/2022 03:17:45 PM,,Rooster,Residence,11421.0,74-23 85 ROAD,85 ROAD,ADDRESS,In Progress,,,,QUEENS,1020786.0,192144.0,QUEENS,40.69399225003649,-73.86824649256845,"(40.69399225003649, -73.86824649256845)",Queens,2022,0500000US36081,1709759,174351,444621,229323,323773,132332
15677897,01/07/2010 12:46:47 PM,02/05/2010 03:50:55 PM,Rooster,Residence,10310.0,169 MANOR ROAD,MANOR ROAD,ADDRESS,Closed,02/06/2010 12:46:47 PM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,02/05/2010 03:50:55 PM,STATEN ISLAND,949628.0,166596.0,STATEN ISLAND,40.62387637864165,-74.12472021431208,"(40.62387637864165, -74.12472021431208)",Staten Island,2010,0500000US36085,311146,15557.3,105167.34799999998,35159.498,67997,31.0
15678342,01/07/2010 11:41:51 AM,01/22/2010 03:20:06 PM,Rooster,Residence,11367.0,71-18 136 STREET,136 STREET,ADDRESS,Closed,02/06/2010 11:41:51 AM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,01/22/2010 03:20:06 PM,QUEENS,1032164.0,203703.0,QUEENS,40.72566461502672,-73.82713379893613,"(40.725664615026716, -73.82713379893613)",Queens,2010,0500000US36081,1527856,158897.024,436966.816,157369.168,331446,31.6
15679572,01/07/2010 04:38:11 PM,01/08/2010 11:53:16 AM,Other,Residence,10010.0,219 EAST 23 STREET,EAST 23 STREET,ADDRESS,Closed,02/06/2010 04:38:11 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,01/08/2010 11:53:16 AM,MANHATTAN,989095.0,208360.0,MANHATTAN,40.73857537449318,-73.98251662360549,"(40.73857537449318, -73.98251662360549)",New York,2010,0500000US36061,1166760,99174.6,155179.08,317358.72,243451,61.0
15679920,01/07/2010 06:49:28 PM,,Rooster,Residence,11211.0,269 POWERS STREET,POWERS STREET,ADDRESS,Assigned,02/06/2010 06:49:28 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",01/08/2010 03:14:52 PM,BROOKLYN,1001108.0,199084.0,BROOKLYN,40.71310027573483,-73.93919047796373,"(40.71310027573483, -73.93919047796373)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
15712996,01/12/2010 01:57:14 PM,02/02/2010 11:43:50 AM,Snake,Residence,10305.0,305 SEAVER AVENUE,SEAVER AVENUE,ADDRESS,Closed,02/11/2010 01:57:14 PM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,02/02/2010 11:43:51 AM,STATEN ISLAND,957918.0,151454.0,STATEN ISLAND,40.58234321354838,-74.09479781259745,"(40.58234321354838, -74.09479781259745)",Staten Island,2010,0500000US36085,311146,15557.3,105167.34799999998,35159.498,67997,31.0
15715199,01/12/2010 08:20:26 PM,01/13/2010 10:01:25 AM,Other,Residence,10470.0,273 EAST 234 STREET,EAST 234 STREET,ADDRESS,Closed,02/11/2010 08:20:26 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,01/13/2010 10:01:25 AM,BRONX,1020722.0,266039.0,BRONX,40.8968139239343,-73.86807596567725,"(40.8968139239343, -73.86807596567725)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
15715368,01/12/2010 02:15:24 PM,01/13/2010 09:23:23 AM,Other,Residence,10035.0,177 EAST 117 STREET,EAST 117 STREET,ADDRESS,Closed,02/11/2010 02:15:24 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,01/13/2010 09:23:23 AM,MANHATTAN,1000807.0,230351.0,MANHATTAN,40.79892076738057,-73.9401992371412,"(40.79892076738057, -73.9401992371412)",New York,2010,0500000US36061,1166760,99174.6,155179.08,317358.72,243451,61.0
15723395,01/13/2010 10:50:37 AM,02/01/2010 11:03:50 AM,Snake,Residence,10460.0,2110 HONEYWELL AVENUE,HONEYWELL AVENUE,ADDRESS,Closed,02/12/2010 10:50:37 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,02/01/2010 11:03:50 AM,BRONX,1016855.0,247261.0,BRONX,40.8452892476298,-73.88215477341697,"(40.8452892476298, -73.88215477341697)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
